Everyday Checking - Account XXXX4821
Statement period,06/01/2026 - 08/31/2026
SYNTHETIC SAMPLE DATA - not a real account

Transaction Date,Description,Amount,Balance
06/01/2026,GREENLEAF PROPERTY MGMT RENT,-2150.00,2662.37
06/02/2026,STARBUCKS STORE 3476,-5.91,2656.46
06/03/2026,CON EDISON ONLINE PMT,-122.46,2534.00
06/03/2026,POS 6427 SAFEWAY #9843,-57.03,2476.97
06/03/2026,BLUE BOTTLE COFFEE,-4.54,2472.43
06/04/2026,STARBUCKS STORE 6808,-6.62,2465.81
06/04/2026,CHIPOTLE 2291,-11.18,2454.63
06/04/2026,DOORDASH*THAI VILLA,-36.43,2418.20
06/04/2026,TST* EL FAROLITO,-23.75,2394.45
06/05/2026,VERIZON WIRELESS AUTOPAY,-85.00,2309.45
06/05/2026,SQ *OAK & ASH COFFEE,-5.03,2304.42
06/06/2026,NETFLIX.COM,-15.49,2288.93
06/06/2026,TRADER JOE S #552 QPS,-96.14,2192.79
06/07/2026,AMZN MKTP US*7Y1RT,-16.24,2176.55
06/07/2026,SP * NORTHWIND APOTHECARY,-38.20,2138.35
06/08/2026,SPOTIFY USA,-11.99,2126.36
06/08/2026,STARBUCKS STORE 3665,-7.63,2118.73
06/08/2026,PRET A MANGER NY,-13.27,2105.46
06/09/2026,TARGET 00012345,-65.99,2039.47
06/09/2026,DR PRIYA PATEL DDS,-180.00,1859.47
06/10/2026,PLANET FITNESS CLUB FEES,-24.99,1834.48
06/10/2026,SQ *OAK & ASH COFFEE,-5.81,1828.67
06/10/2026,CHIPOTLE 2291,-13.60,1815.07
06/10/2026,LYFT *RIDE SUN 8PM,-21.80,1793.27
06/10/2026,UBER EATS PENDING,-31.33,1761.94
06/11/2026,SQ *OAK & ASH COFFEE,-6.17,1755.77
06/11/2026,MAPLE & MOSS,-64.00,1691.77
06/12/2026,APPLE.COM/BILL ICLOUD 200GB,-2.99,1688.78
06/12/2026,SQ *OAK & ASH COFFEE,-4.55,1684.23
06/13/2026,HEADWAY APP 22019,-12.99,1671.24
06/13/2026,WHOLE FOODS MKT #10281,-124.69,1546.55
06/14/2026,ATM WITHDRAWAL 0042 BROADWAY,-100.00,1446.55
06/15/2026,ACME ANALYTICS INC PAYROLL DIRECT DEP,3420.55,4867.10
06/15/2026,STARBUCKS STORE 5348,-4.65,4862.45
06/15/2026,TARGET 00012345,-93.29,4769.16
06/15/2026,SHELL OIL 57442,-41.14,4728.02
06/16/2026,TRANSFER TO SAVINGS ACCT XXXX7710,-500.00,4228.02
06/17/2026,POS 6717 SAFEWAY #5810,-47.54,4180.48
06/17/2026,UBER *TRIP HELP.UBER.COM,-13.71,4166.77
06/17/2026,HOLLOWAY BARBERS,-35.00,4131.77
06/18/2026,SQ *OAK & ASH COFFEE,-4.71,4127.06
06/18/2026,SQ *SAKURA GARDEN,-18.27,4108.79
06/18/2026,TARGET 00012345,-76.68,4032.11
06/19/2026,GEICO AUTO INSURANCE,-132.40,3899.71
06/19/2026,BLUE BOTTLE COFFEE,-7.80,3891.91
06/20/2026,WHOLE FOODS MKT #10281,-74.08,3817.83
06/20/2026,STRIPE PAYOUT ACH CREDIT,640.00,4457.83
06/21/2026,NORDVPN* SUBSCRIPTION,-12.99,4444.84
06/22/2026,CHEWY.COM AUTOSHIP,-41.91,4402.93
06/22/2026,STARBUCKS STORE 5258,-5.71,4397.22
06/23/2026,STARBUCKS STORE 1966,-4.50,4392.72
06/23/2026,CHIPOTLE 2291,-18.35,4374.37
06/23/2026,UBER *TRIP HELP.UBER.COM,-20.51,4353.86
06/23/2026,AMAZON.COM REFUND,34.99,4388.85
06/24/2026,POS 3929 SAFEWAY #4400,-31.33,4357.52
06/24/2026,STARBUCKS STORE 2264,-5.76,4351.76
06/24/2026,CHIPOTLE 2291,-18.65,4333.11
06/24/2026,UBER *TRIP HELP.UBER.COM,-28.59,4304.52
06/25/2026,BLUE BOTTLE COFFEE,-6.89,4297.63
06/25/2026,WM SUPERCENTER #2231,-71.40,4226.23
06/26/2026,SQ *OAK & ASH COFFEE,-4.60,4221.63
06/27/2026,WHOLE FOODS MKT #10281,-123.71,4097.92
06/27/2026,LYFT *RIDE SUN 8PM,-10.52,4087.40
06/28/2026,KUMON LEARNING CTR,-165.00,3922.40
06/29/2026,ACME ANALYTICS INC PAYROLL DIRECT DEP,3420.55,7342.95
06/29/2026,SQ *OAK & ASH COFFEE,-7.33,7335.62
06/29/2026,PRET A MANGER NY,-15.89,7319.73
07/01/2026,GREENLEAF PROPERTY MGMT RENT,-2150.00,5169.73
07/01/2026,POS 6209 SAFEWAY #3147,-46.79,5122.94
07/01/2026,LYFT *RIDE SUN 8PM,-26.97,5095.97
07/02/2026,SQ *OAK & ASH COFFEE,-7.10,5088.87
07/02/2026,SQ *SAKURA GARDEN,-16.94,5071.93
07/03/2026,CON EDISON ONLINE PMT,-79.09,4992.84
07/03/2026,SQ *OAK & ASH COFFEE,-5.32,4987.52
07/03/2026,SQ *SAKURA GARDEN,-18.72,4968.80
07/04/2026,TRADER JOE S #552 QPS,-110.69,4858.11
07/04/2026,RIVERSIDE ANIMAL HOSP,-212.50,4645.61
07/05/2026,VERIZON WIRELESS AUTOPAY,-85.00,4560.61
07/06/2026,NETFLIX.COM,-15.49,4545.12
07/07/2026,SQ *OAK & ASH COFFEE,-5.61,4539.51
07/07/2026,PAYPAL *STEAMGAMES,-29.99,4509.52
07/08/2026,SPOTIFY USA,-11.99,4497.53
07/08/2026,SWEETGREEN SOHO,-16.45,4481.08
07/09/2026,STARBUCKS STORE 1343,-5.32,4475.76
07/09/2026,SHELL OIL 57442,-55.20,4420.56
07/09/2026,ZELLE TO MARIA LOPEZ,-60.00,4360.56
07/10/2026,PLANET FITNESS CLUB FEES,-24.99,4335.57
07/10/2026,STARBUCKS STORE 3213,-7.07,4328.50
07/10/2026,CHIPOTLE 2291,-12.52,4315.98
07/11/2026,WHOLE FOODS MKT #10281,-98.79,4217.19
07/11/2026,LYFT *RIDE SUN 8PM,-11.66,4205.53
07/11/2026,TARGET 00012345,-89.16,4116.37
07/11/2026,DELTA AIR 0062371234,-412.60,3703.77
07/12/2026,APPLE.COM/BILL ICLOUD 200GB,-2.99,3700.78
07/13/2026,HEADWAY APP 22019,-12.99,3687.79
07/13/2026,STARBUCKS STORE 3565,-6.70,3681.09
07/13/2026,DOORDASH*THAI VILLA,-41.39,3639.70
07/15/2026,ACME ANALYTICS INC PAYROLL DIRECT DEP,3420.55,7060.25
07/15/2026,MARRIOTT CHICAGO DOWNTOWN,-538.14,6522.11
07/16/2026,TRANSFER TO SAVINGS ACCT XXXX7710,-500.00,6022.11
07/16/2026,CHIPOTLE 2291,-17.59,6004.52
07/16/2026,SQ *THE LOCAL PRESS,-18.50,5986.02
07/17/2026,CHIPOTLE 2291,-15.07,5970.95
07/17/2026,UBER *TRIP HELP.UBER.COM,-24.10,5946.85
07/17/2026,LOU MALNATIS PIZZERIA,-41.30,5905.55
07/18/2026,WHOLE FOODS MKT #10281,-122.67,5782.88
07/18/2026,CTA VENTRA,-20.00,5762.88
07/19/2026,GEICO AUTO INSURANCE,-132.40,5630.48
07/19/2026,TARGET 00012345,-13.68,5616.80
07/20/2026,BLUE BOTTLE COFFEE,-7.27,5609.53
07/20/2026,SQ *SAKURA GARDEN,-15.47,5594.06
07/21/2026,NORDVPN* SUBSCRIPTION,-12.99,5581.07
07/21/2026,CVS/PHARMACY #0421,-32.22,5548.85
07/23/2026,STARBUCKS STORE 2268,-4.70,5544.15
07/23/2026,UBER EATS PENDING,-23.96,5520.19
07/23/2026,BLUE APRON,-69.99,5450.20
07/24/2026,STARBUCKS STORE 1887,-5.68,5444.52
07/24/2026,PRET A MANGER NY,-13.93,5430.59
07/24/2026,WALGREENS #7719,-11.65,5418.94
07/25/2026,WHOLE FOODS MKT #10281,-76.16,5342.78
07/26/2026,AMC THEATRES 1128,-32.00,5310.78
07/27/2026,STARBUCKS STORE 1728,-4.85,5305.93
07/28/2026,SQ *OAK & ASH COFFEE,-6.04,5299.89
07/29/2026,ACME ANALYTICS INC PAYROLL DIRECT DEP,3420.55,8720.44
07/29/2026,POS 2574 SAFEWAY #2323,-23.81,8696.63
07/29/2026,CHIPOTLE 2291,-14.07,8682.56
07/29/2026,AMZN MKTP US*7Y1RT,-63.93,8618.63
07/29/2026,7-ELEVEN 33410,-9.87,8608.76
07/30/2026,BLUE BOTTLE COFFEE,-4.91,8603.85
07/31/2026,SQ *OAK & ASH COFFEE,-5.53,8598.32
07/31/2026,SQ *SAKURA GARDEN,-13.40,8584.92
08/01/2026,GREENLEAF PROPERTY MGMT RENT,-2150.00,6434.92
08/01/2026,WHOLE FOODS MKT #10281,-120.27,6314.65
08/02/2026,AMZN MKTP US*7Y1RT,-20.94,6293.71
08/03/2026,CON EDISON ONLINE PMT,-102.41,6191.30
08/03/2026,SQ *OAK & ASH COFFEE,-5.98,6185.32
08/03/2026,AMZN MKTP US*7Y1RT,-92.76,6092.56
08/03/2026,XYZ*QPAY 88213 LLC,-45.00,6047.56
08/05/2026,VERIZON WIRELESS AUTOPAY,-85.00,5962.56
08/05/2026,POS 7082 SAFEWAY #1920,-52.73,5909.83
08/05/2026,SQ *OAK & ASH COFFEE,-7.05,5902.78
08/05/2026,AMAZON.COM*2K4LP0,-94.93,5807.85
08/06/2026,NETFLIX.COM,-15.49,5792.36
08/06/2026,PRET A MANGER NY,-13.75,5778.61
08/06/2026,ZELLE FROM JAMES KIM,85.00,5863.61
08/07/2026,SQ *OAK & ASH COFFEE,-6.69,5856.92
08/07/2026,LYFT *RIDE SUN 8PM,-30.91,5826.01
08/07/2026,DOORDASH*THAI VILLA,-44.06,5781.95
08/08/2026,SPOTIFY USA,-11.99,5769.96
08/08/2026,WHOLE FOODS MKT #10281,-124.40,5645.56
08/09/2026,AMAZON.COM*2K4LP0,-48.73,5596.83
08/09/2026,SHELL OIL 57442,-50.55,5546.28
08/09/2026,IKEA BROOKLYN,-249.00,5297.28
08/10/2026,PLANET FITNESS CLUB FEES,-24.99,5272.29
08/10/2026,STARBUCKS STORE 6633,-7.72,5264.57
08/11/2026,STARBUCKS STORE 2737,-5.94,5258.63
08/12/2026,APPLE.COM/BILL ICLOUD 200GB,-2.99,5255.64
08/12/2026,LYFT *RIDE SUN 8PM,-13.47,5242.17
08/12/2026,THE ROSE & CROWN,-46.20,5195.97
08/13/2026,HEADWAY APP 22019,-12.99,5182.98
08/13/2026,BLUE BOTTLE COFFEE,-7.22,5175.76
08/13/2026,LYFT *RIDE SUN 8PM,-10.35,5165.41
08/14/2026,SQ *SAKURA GARDEN,-14.64,5150.77
08/15/2026,ACME ANALYTICS INC PAYROLL DIRECT DEP,3420.55,8571.32
08/15/2026,WHOLE FOODS MKT #10281,-109.51,8461.81
08/15/2026,UBER *TRIP HELP.UBER.COM,-29.07,8432.74
08/15/2026,CITY OF NY PARKING TICKET,-65.00,8367.74
08/16/2026,TRANSFER TO SAVINGS ACCT XXXX7710,-500.00,7867.74
08/16/2026,SHELL OIL 57442,-43.06,7824.68
08/18/2026,BLUE BOTTLE COFFEE,-7.60,7817.08
08/18/2026,MONTHLY MAINTENANCE FEE,-12.00,7805.08
08/19/2026,GEICO AUTO INSURANCE,-132.40,7672.68
08/19/2026,POS 4259 SAFEWAY #5928,-37.66,7635.02
08/19/2026,CHIPOTLE 2291,-13.44,7621.58
08/19/2026,LYFT *RIDE SUN 8PM,-9.12,7612.46
08/19/2026,SHELL OIL 57442,-45.65,7566.81
08/20/2026,STARBUCKS STORE 3485,-4.69,7562.12
